architecture,architecture_label,target,target_label,fold,condition,accuracy,recall,f1,mcc,auc,aupr,c0,c1,c2,c3,c4,true_probability,logit_margin,stage2_macro_recall
full,Full,3,L3,fold03,baseline,75.12313142659639,70.22327737513481,71.50789354715904,59.45818400683823,84.40258251478181,76.07301369549795,82.83582089552239,82.86943319838058,70.0,81.5046689303905,58.693609022556394,73.54487180709839,3.840157985687256,74.35590371710916
full,Full,3,L3,fold03,maximum,75.27650565972522,70.63994404180148,71.83479164460448,59.72954543008644,84.14208774431074,75.38205528561211,82.83582089552239,82.86943319838058,72.5,81.5046689303905,58.693609022556394,73.66188764572144,3.837913751602173,74.35590371710916
full,Full,3,L3,fold03,attention_shuffle,75.98073101183789,71.83042023227767,73.25148837380121,60.957207371053634,85.48993042654213,77.13311985480082,82.83582089552239,82.86943319838058,72.5,81.5046689303905,62.26503759398497,74.24154281616211,3.9942495822906494,75.54637990758535
full,Full,3,L3,fold03,attention_zero,75.12313142659639,70.22327737513481,71.50789354715904,59.45818400683823,84.37862650907539,75.98850245009366,82.83582089552239,82.86943319838058,70.0,81.5046689303905,58.693609022556394,73.51251244544983,3.8355841636657715,74.35590371710916
full,Full,3,L3,fold03,random_window,75.22435842046141,70.49827737513483,71.72354985139688,59.63722529354341,84.12233821615555,75.35389984311851,82.8358208955224,82.86943319838058,71.65,81.50466893039047,58.6936090225564,73.604481869936,3.8296337673664094,74.35590371710916
full,Full,5,L5,fold03,baseline,75.12313142659639,70.22327737513481,71.50789354715904,59.45818400683823,84.40258251478181,76.07301369549795,82.83582089552239,82.86943319838058,70.0,81.5046689303905,58.693609022556394,73.54487180709839,3.840157985687256,74.35590371710916
full,Full,5,L5,fold03,maximum,74.20288602782338,69.5653826382927,70.68241557148582,57.97431312543755,83.98501020700922,74.48431182498229,82.83582089552239,80.89574898785426,70.0,79.53098471986416,56.71992481203007,72.85314500331879,3.820124864578247,72.38221950658283
full,Full,5,L5,fold03,attention_shuffle,73.92422016763156,70.74019466836789,70.07881871427978,58.31290731546257,85.25243324773282,76.3579700167071,82.83582089552239,77.27732793522267,70.0,75.9125636672326,60.244360902255636,71.67730033397675,3.7400869131088257,71.14475083490363
full,Full,5,L5,fold03,attention_zero,74.50963449408104,69.78468088390673,70.92019269060003,58.41935141973495,84.32562956431684,75.7908829554254,82.83582089552239,81.55364372469636,70.0,80.18887945670627,57.377819548872175,73.25118780136108,3.8286166191101074,73.04011424342494
full,Full,5,L5,fold03,random_window,73.61822345113626,69.14740018215235,69.99900685943017,57.06017370319601,83.98410888192512,74.2240058115925,82.8358208955224,79.64180161943318,70.0,78.27703735144313,55.46597744360902,72.15243236422539,3.7436555511951446,71.12827213816178
no_conv,NoConv,2,L2,fold01,baseline,67.3802242609582,67.48592612958927,67.16422908352364,49.317026983899154,79.7241958191449,68.24691962330363,81.34328358208955,67.2514619883041,73.17073170731707,65.28013582342953,71.61654135338347,61.82161420583725,2.959858775138855,68.0493797217057
no_conv,NoConv,2,L2,fold01,maximum,63.6276758409786,64.74058027820105,63.407786733509596,43.66562040479113,77.47318619443342,63.31906055956477,80.59701492537313,61.001461988304094,73.17073170731707,57.41723259762309,65.36654135338347,58.62818658351898,2.470466323196888,61.26174531310355
no_conv,NoConv,2,L2,fold01,attention_shuffle,60.33384301732926,62.25926123986446,61.59325415879724,38.525326355081475,77.59747167496829,66.38276977469086,80.59701492537313,53.55750487329435,73.17073170731707,51.8251273344652,59.77443609022557,56.2374010682106,2.20759941637516,55.05235609932837
no_conv,NoConv,2,L2,fold01,attention_zero,65.76834862385321,66.290396984145,65.94610821291661,47.02224974828272,78.85450833738338,67.60303349309628,81.34328358208955,65.27777777777777,73.17073170731707,61.693548387096776,69.64285714285714,60.41760742664337,2.81097911298275,65.53806110257723
no_conv,NoConv,2,L2,fold01,random_window,63.54803771661569,64.6775505195867,63.3153180410924,43.544019202645615,76.98844277479348,62.97376462413094,80.41791044776123,60.90192495126705,73.17073170731706,57.3547325976231,65.30404135338347,58.35984833538532,2.4531720842048528,61.186899634091205
no_conv,NoConv,3,L3,fold01,baseline,67.3802242609582,67.48592612958927,67.16422908352364,49.317026983899154,79.7241958191449,68.24691962330363,81.34328358208955,67.2514619883041,73.17073170731707,65.28013582342953,71.61654135338347,61.82161420583725,2.959858775138855,68.0493797217057
no_conv,NoConv,3,L3,fold01,maximum,67.3802242609582,67.48592612958927,67.16422908352364,49.317026983899154,79.57824064117582,67.424415491293,81.34328358208955,67.2514619883041,73.17073170731707,65.28013582342953,71.61654135338347,61.701877415180206,2.941462554037571,68.0493797217057
no_conv,NoConv,3,L3,fold01,attention_shuffle,67.3802242609582,67.48592612958927,67.16422908352364,49.317026983899154,79.85468171654342,68.3038411470553,81.34328358208955,67.2514619883041,73.17073170731707,65.28013582342953,71.61654135338347,61.839914321899414,2.9615838080644608,68.0493797217057
no_conv,NoConv,3,L3,fold01,attention_zero,67.3802242609582,67.48592612958927,67.16422908352364,49.317026983899154,79.92089133448714,68.32811675910018,81.34328358208955,67.2514619883041,73.17073170731707,65.28013582342953,71.61654135338347,61.85712516307831,2.962397739291191,68.0493797217057
no_conv,NoConv,3,L3,fold01,random_window,67.38022426095822,67.4859261295893,67.16422908352364,49.31702698389916,79.57824064117582,67.42441549129299,81.34328358208954,67.25146198830409,73.17073170731706,65.28013582342952,71.61654135338347,61.70182892680168,2.9414331309497355,68.0493797217057
no_conv,NoConv,5,L5,fold01,baseline,67.3802242609582,67.48592612958927,67.16422908352364,49.317026983899154,79.7241958191449,68.24691962330363,81.34328358208955,67.2514619883041,73.17073170731707,65.28013582342953,71.61654135338347,61.82161420583725,2.959858775138855,68.0493797217057
no_conv,NoConv,5,L5,fold01,maximum,65.76834862385321,65.63755520227096,65.20981770981771,46.59607128412382,78.00858615233415,65.52498106823302,81.34328358208955,65.27777777777777,73.17073170731707,63.306451612903224,66.07142857142857,60.38423925638199,2.7888351380825043,64.88521932070319
no_conv,NoConv,5,L5,fold01,attention_shuffle,65.2395514780836,65.95083841029103,65.69409020893039,45.94089304104148,78.67823251242481,67.2654757536954,81.34328358208955,62.646198830409354,73.17073170731707,60.6748726655348,67.01127819548873,58.98050218820572,2.586280934512615,63.44411656381096
no_conv,NoConv,5,L5,fold01,attention_zero,66.3098878695209,66.71838226994014,66.36425794777031,47.61394007927156,79.52578633213147,68.66802133888342,81.34328358208955,64.94883040935673,73.17073170731707,62.977504244482176,69.3139097744361,60.819149017333984,2.8060678765177727,65.74674814275834
no_conv,NoConv,5,L5,fold01,random_window,65.63226299694189,65.53996748297271,65.02092428084924,46.39700620989298,77.93206913244678,65.74061837253828,81.34328358208954,64.98501461988305,73.17073170731706,63.01368845500848,65.77866541353383,60.30755369365215,2.770362085327506,64.59245616280846
no_conv,NoConv,2,L2,fold02,baseline,68.19968893113281,69.8934227953499,67.4411228581538,51.70553735722413,78.58953128932859,66.65361712021169,82.08955223880598,72.49493927125506,75.0,59.15747028862479,79.08834586466165,61.772458255290985,1.8985433876514435,70.24691847484716
no_conv,NoConv,2,L2,fold02,maximum,66.3591981335868,68.5776333216657,65.64166039836309,48.89963573850899,78.04234019393638,65.98064309790819,82.08955223880598,68.54757085020242,75.0,55.21010186757215,75.14097744360902,60.472944378852844,1.8016868643462658,66.29955005379453
no_conv,NoConv,2,L2,fold02,attention_shuffle,66.08053227339497,68.6535442528398,66.1090781155594,48.70902435963585,78.9836939534828,67.33473386015926,82.08955223880598,68.7753036437247,75.0,51.591680814940574,71.52255639097744,59.65105444192886,1.7823927700519562,63.963180283214236
no_conv,NoConv,2,L2,fold02,attention_zero,68.29041735073015,70.09585194514749,67.45419036818267,51.98430803156657,78.89758490417509,66.78647563576692,82.08955223880598,73.10222672064776,75.0,57.841680814940574,77.77255639097744,61.55749708414078,1.8716458082199097,69.5721546421886
no_conv,NoConv,2,L2,fold02,random_window,66.7312926639592,68.8752885173472,65.9375414205843,49.510805204389634,78.20763053172087,66.16309577825923,82.08955223880598,69.44053643724696,75.0,55.66075976230899,75.59163533834585,60.73571741580963,1.8220474734157324,66.89764384596725
no_conv,NoConv,3,L3,fold02,baseline,68.19968893113281,69.8934227953499,67.4411228581538,51.70553735722413,78.58953128932859,66.65361712021169,82.08955223880598,72.49493927125506,75.0,59.15747028862479,79.08834586466165,61.772458255290985,1.8985433876514435,70.24691847484716
