comparison_id,comparison_label,comparison_family,target_label,intervention_condition,baseline_architecture,intervention_architecture,stage,fold,scope,class_id,class_label,n,CC,CW,WC,WW,baseline_correct_n,baseline_wrong_n,damage_rate_percent,recovery_rate_percent,net_correct_change,baseline_accuracy_percent,intervention_accuracy_percent,accuracy_delta_pp,discordant_n,mcnemar_exact_p,mcnemar_bh_q
attention_shuffle_L3,Attention shuffle L3,attention_intervention,3.0,attention_shuffle,full,full,run2,fold02,true_class,1,L4 Changing direction,31,17,1,0,13,18,13,5.555555555555555,0.0,-1,58.064516129032256,54.83870967741935,-3.225806451612903,1,1.0,1.0
attention_shuffle_L3,Attention shuffle L3,attention_intervention,3.0,attention_shuffle,full,full,run2,fold02,true_class,2,L5 Walking,14,8,0,0,6,8,6,0.0,0.0,0,57.142857142857146,57.142857142857146,0.0,0,1.0,1.0
attention_shuffle_L5,Attention shuffle L5,attention_intervention,5.0,attention_shuffle,full,full,run2,fold02,overall,-1,All stage samples,71,46,1,0,24,47,24,2.127659574468085,0.0,-1,66.19718309859155,64.78873239436619,-1.408450704225352,1,1.0,1.0
attention_shuffle_L5,Attention shuffle L5,attention_intervention,5.0,attention_shuffle,full,full,run2,fold02,true_class,0,L2 Wrong hole,26,21,0,0,5,21,5,0.0,0.0,0,80.76923076923077,80.76923076923077,0.0,0,1.0,1.0
attention_shuffle_L5,Attention shuffle L5,attention_intervention,5.0,attention_shuffle,full,full,run2,fold02,true_class,1,L4 Changing direction,31,18,0,0,13,18,13,0.0,0.0,0,58.064516129032256,58.064516129032256,0.0,0,1.0,1.0
attention_shuffle_L5,Attention shuffle L5,attention_intervention,5.0,attention_shuffle,full,full,run2,fold02,true_class,2,L5 Walking,14,7,1,0,6,8,6,12.5,0.0,-1,57.142857142857146,50.0,-7.142857142857143,1,1.0,1.0
structure_no_conv,Full vs NoConv,structural_ablation,,baseline,full,no_conv,run2,fold02,overall,-1,All stage samples,71,31,16,9,15,47,24,34.04255319148936,37.5,-7,66.19718309859155,56.33802816901409,-9.859154929577464,25,0.2295229434967041,1.0
structure_no_conv,Full vs NoConv,structural_ablation,,baseline,full,no_conv,run2,fold02,true_class,0,L2 Wrong hole,26,16,5,1,4,21,5,23.80952380952381,20.0,-4,80.76923076923077,65.38461538461539,-15.384615384615385,6,0.21875,1.0
structure_no_conv,Full vs NoConv,structural_ablation,,baseline,full,no_conv,run2,fold02,true_class,1,L4 Changing direction,31,8,10,4,9,18,13,55.55555555555556,30.76923076923077,-6,58.064516129032256,38.70967741935484,-19.35483870967742,14,0.1795654296875,1.0
structure_no_conv,Full vs NoConv,structural_ablation,,baseline,full,no_conv,run2,fold02,true_class,2,L5 Walking,14,7,1,4,2,8,6,12.5,66.66666666666667,3,57.142857142857146,78.57142857142857,21.428571428571427,5,0.375,1.0
structure_no_lstm,Full vs NoLSTM,structural_ablation,,baseline,full,no_lstm,run2,fold02,overall,-1,All stage samples,71,30,17,10,14,47,24,36.170212765957444,41.666666666666664,-7,66.19718309859155,56.33802816901409,-9.859154929577464,27,0.24778856337070465,1.0
structure_no_lstm,Full vs NoLSTM,structural_ablation,,baseline,full,no_lstm,run2,fold02,true_class,0,L2 Wrong hole,26,12,9,2,3,21,5,42.857142857142854,40.0,-7,80.76923076923077,53.84615384615385,-26.923076923076923,11,0.0654296875,0.675
structure_no_lstm,Full vs NoLSTM,structural_ablation,,baseline,full,no_lstm,run2,fold02,true_class,1,L4 Changing direction,31,14,4,6,7,18,13,22.22222222222222,46.15384615384615,2,58.064516129032256,64.51612903225806,6.451612903225806,10,0.75390625,1.0
structure_no_lstm,Full vs NoLSTM,structural_ablation,,baseline,full,no_lstm,run2,fold02,true_class,2,L5 Walking,14,4,4,2,4,8,6,50.0,33.333333333333336,-2,57.142857142857146,42.857142857142854,-14.285714285714286,6,0.6875,1.0
structure_no_attention,Full vs NoAttention,structural_ablation,,baseline,full,no_attention,run2,fold02,overall,-1,All stage samples,71,33,14,12,12,47,24,29.78723404255319,50.0,-2,66.19718309859155,63.38028169014085,-2.816901408450704,26,0.8450189828872681,1.0
structure_no_attention,Full vs NoAttention,structural_ablation,,baseline,full,no_attention,run2,fold02,true_class,0,L2 Wrong hole,26,14,7,2,3,21,5,33.333333333333336,40.0,-5,80.76923076923077,61.53846153846154,-19.23076923076923,9,0.1796875,1.0
structure_no_attention,Full vs NoAttention,structural_ablation,,baseline,full,no_attention,run2,fold02,true_class,1,L4 Changing direction,31,12,6,4,9,18,13,33.333333333333336,30.76923076923077,-2,58.064516129032256,51.61290322580645,-6.451612903225806,10,0.75390625,1.0
structure_no_attention,Full vs NoAttention,structural_ablation,,baseline,full,no_attention,run2,fold02,true_class,2,L5 Walking,14,7,1,6,0,8,6,12.5,100.0,5,57.142857142857146,92.85714285714286,35.714285714285715,7,0.125,0.9333333333333333
mask_max_L1,Maximum mask L1,input_mask,1.0,maximum,full,full,run1,fold03,overall,-1,All stage samples,326,272,2,0,52,274,52,0.7299270072992701,0.0,-2,84.04907975460122,83.43558282208589,-0.6134969325153374,2,0.5,1.0
mask_max_L1,Maximum mask L1,input_mask,1.0,maximum,full,full,run1,fold03,true_class,0,L1 Hole exploration,134,111,0,0,23,111,23,0.0,0.0,0,82.83582089552239,82.83582089552239,0.0,0,1.0,1.0
mask_max_L1,Maximum mask L1,input_mask,1.0,maximum,full,full,run1,fold03,true_class,1,Gate: L2/L4/L5,152,133,2,0,17,135,17,1.4814814814814814,0.0,-2,88.8157894736842,87.5,-1.3157894736842106,2,0.5,1.0
