comparison_id,comparison_label,comparison_family,target_label,intervention_condition,baseline_architecture,intervention_architecture,stage,scope,class_id,class_label,n,CC,CW,WC,WW,baseline_correct_n,baseline_wrong_n,damage_rate_percent,recovery_rate_percent,net_correct_change,baseline_accuracy_percent,intervention_accuracy_percent,accuracy_delta_pp,discordant_n,mcnemar_exact_p,mcnemar_bh_q
attention_shuffle_L2,Attention shuffle L2,attention_intervention,2.0,attention_shuffle,full,full,run1,true_class,1,Gate: L2/L4/L5,456,347,41,11,57,388,68,10.56701030927835,16.176470588235293,-30,85.08771929824562,78.50877192982456,-6.578947368421052,52,3.5887916129517805e-05,0.0008038893213011989
attention_shuffle_L2,Attention shuffle L2,attention_intervention,2.0,attention_shuffle,full,full,run1,true_class,2,L3 Hesitating,121,88,0,0,33,88,33,0.0,0.0,0,72.72727272727273,72.72727272727273,0.0,0,1.0,1.0
attention_shuffle_L3,Attention shuffle L3,attention_intervention,3.0,attention_shuffle,full,full,run1,overall,-1,All stage samples,979,804,0,1,174,804,175,0.0,0.5714285714285714,1,82.12461695607763,82.2267620020429,0.10214504596527069,1,1.0,1.0
attention_shuffle_L3,Attention shuffle L3,attention_intervention,3.0,attention_shuffle,full,full,run1,true_class,0,L1 Hole exploration,402,328,0,0,74,328,74,0.0,0.0,0,81.59203980099502,81.59203980099502,0.0,0,1.0,1.0
attention_shuffle_L3,Attention shuffle L3,attention_intervention,3.0,attention_shuffle,full,full,run1,true_class,1,Gate: L2/L4/L5,456,388,0,0,68,388,68,0.0,0.0,0,85.08771929824562,85.08771929824562,0.0,0,1.0,1.0
attention_shuffle_L3,Attention shuffle L3,attention_intervention,3.0,attention_shuffle,full,full,run1,true_class,2,L3 Hesitating,121,88,0,1,32,88,33,0.0,3.0303030303030303,1,72.72727272727273,73.55371900826447,0.8264462809917356,1,1.0,1.0
attention_shuffle_L5,Attention shuffle L5,attention_intervention,5.0,attention_shuffle,full,full,run1,overall,-1,All stage samples,979,769,35,19,156,804,175,4.353233830845771,10.857142857142858,-16,82.12461695607763,80.4902962206333,-1.634320735444331,54,0.04022356409571669,0.20477450812364859
attention_shuffle_L5,Attention shuffle L5,attention_intervention,5.0,attention_shuffle,full,full,run1,true_class,0,L1 Hole exploration,402,328,0,0,74,328,74,0.0,0.0,0,81.59203980099502,81.59203980099502,0.0,0,1.0,1.0
attention_shuffle_L5,Attention shuffle L5,attention_intervention,5.0,attention_shuffle,full,full,run1,true_class,1,Gate: L2/L4/L5,456,353,35,19,49,388,68,9.02061855670103,27.941176470588236,-16,85.08771929824562,81.57894736842105,-3.508771929824561,54,0.04022356409571669,0.20477450812364859
attention_shuffle_L5,Attention shuffle L5,attention_intervention,5.0,attention_shuffle,full,full,run1,true_class,2,L3 Hesitating,121,88,0,0,33,88,33,0.0,0.0,0,72.72727272727273,72.72727272727273,0.0,0,1.0,1.0
