comparison_id,comparison_label,comparison_family,stage,true_class,true_label,transition,other_class,other_label,count,within_transition_percent
mask_max_L1,Maximum mask L1,input_mask,run2,1,L4 Changing direction,WC_recovery,2,L5 Walking,1,100.0
mask_max_L1,Maximum mask L1,input_mask,run2,2,L5 Walking,CW_damage,1,L4 Changing direction,1,100.0
mask_max_L1,Maximum mask L1,input_mask,run2,2,L5 Walking,WC_recovery,0,L2 Wrong hole,1,100.0
mask_max_L2,Maximum mask L2,input_mask,run2,0,L2 Wrong hole,CW_damage,2,L5 Walking,2,100.0
mask_max_L2,Maximum mask L2,input_mask,run2,0,L2 Wrong hole,WC_recovery,1,L4 Changing direction,2,66.66666666666667
mask_max_L2,Maximum mask L2,input_mask,run2,0,L2 Wrong hole,WC_recovery,2,L5 Walking,1,33.333333333333336
mask_max_L3,Maximum mask L3,input_mask,run2,1,L4 Changing direction,CW_damage,0,L2 Wrong hole,1,50.0
mask_max_L3,Maximum mask L3,input_mask,run2,1,L4 Changing direction,CW_damage,2,L5 Walking,1,50.0
mask_max_L4,Maximum mask L4,input_mask,run2,0,L2 Wrong hole,CW_damage,2,L5 Walking,1,100.0
mask_max_L4,Maximum mask L4,input_mask,run2,0,L2 Wrong hole,WC_recovery,1,L4 Changing direction,2,100.0
mask_max_L5,Maximum mask L5,input_mask,run2,2,L5 Walking,CW_damage,0,L2 Wrong hole,2,66.66666666666667
mask_max_L5,Maximum mask L5,input_mask,run2,2,L5 Walking,CW_damage,1,L4 Changing direction,1,33.333333333333336
attention_zero_L2,Attention zero L2,attention_intervention,run2,0,L2 Wrong hole,CW_damage,1,L4 Changing direction,1,100.0
attention_zero_L2,Attention zero L2,attention_intervention,run2,0,L2 Wrong hole,WC_recovery,1,L4 Changing direction,2,50.0
attention_zero_L2,Attention zero L2,attention_intervention,run2,0,L2 Wrong hole,WC_recovery,2,L5 Walking,2,50.0
attention_zero_L2,Attention zero L2,attention_intervention,run2,1,L4 Changing direction,WC_recovery,0,L2 Wrong hole,1,100.0
attention_zero_L3,Attention zero L3,attention_intervention,run2,1,L4 Changing direction,CW_damage,2,L5 Walking,1,100.0
attention_zero_L5,Attention zero L5,attention_intervention,run2,2,L5 Walking,CW_damage,1,L4 Changing direction,1,100.0
attention_shuffle_L2,Attention shuffle L2,attention_intervention,run2,0,L2 Wrong hole,CW_damage,1,L4 Changing direction,1,100.0
attention_shuffle_L2,Attention shuffle L2,attention_intervention,run2,0,L2 Wrong hole,WC_recovery,1,L4 Changing direction,2,50.0
attention_shuffle_L2,Attention shuffle L2,attention_intervention,run2,0,L2 Wrong hole,WC_recovery,2,L5 Walking,2,50.0
attention_shuffle_L2,Attention shuffle L2,attention_intervention,run2,1,L4 Changing direction,CW_damage,0,L2 Wrong hole,1,50.0
attention_shuffle_L2,Attention shuffle L2,attention_intervention,run2,1,L4 Changing direction,CW_damage,2,L5 Walking,1,50.0
attention_shuffle_L2,Attention shuffle L2,attention_intervention,run2,2,L5 Walking,WC_recovery,1,L4 Changing direction,1,100.0
attention_shuffle_L3,Attention shuffle L3,attention_intervention,run2,1,L4 Changing direction,CW_damage,0,L2 Wrong hole,1,50.0
attention_shuffle_L3,Attention shuffle L3,attention_intervention,run2,1,L4 Changing direction,CW_damage,2,L5 Walking,1,50.0
attention_shuffle_L3,Attention shuffle L3,attention_intervention,run2,2,L5 Walking,WC_recovery,1,L4 Changing direction,1,100.0
attention_shuffle_L5,Attention shuffle L5,attention_intervention,run2,2,L5 Walking,CW_damage,0,L2 Wrong hole,3,75.0
attention_shuffle_L5,Attention shuffle L5,attention_intervention,run2,2,L5 Walking,CW_damage,1,L4 Changing direction,1,25.0
attention_shuffle_L5,Attention shuffle L5,attention_intervention,run2,2,L5 Walking,WC_recovery,1,L4 Changing direction,2,100.0
