target,target_label,outcome,metric_key,condition,architecture,architecture_label,baseline_mean,baseline_sd,perturbed_mean,perturbed_sd,delta_mean_pp,delta_sd_pp,delta_bootstrap_ci95_low_pp,delta_bootstrap_ci95_high_pp,n_folds
2,L2,Stage-2 macro recall,stage2_macro_recall,random_window,full,Full,74.48208603179363,0.1523070315525153,69.8810166009869,1.6141853073164856,-4.601069430806741,1.7407453425474757,-6.527980831708902,-3.1421809020068707,3
2,L2,Stage-2 macro recall,stage2_macro_recall,random_window,no_conv,NoConv,66.74361122224732,4.307284682333563,62.50526315885446,3.9038872933505138,-4.23834806339287,2.3115956352943763,-6.8624800876145,-2.503289473684198,3
2,L2,Stage-2 macro recall,stage2_macro_recall,random_window,no_lstm,NoLSTM,68.55798723135075,3.937490602172653,62.6985071641976,2.3406656077159407,-5.859480067153146,2.594323176072,-8.40989383554465,-3.2233709273182924,3
2,L2,Stage-2 macro recall,stage2_macro_recall,random_window,no_attention,NoAttention,71.51544050596117,5.1255921248145935,65.01311782619554,5.751725982449454,-6.502322679765615,2.96795493416572,-9.441238812383396,-3.506157219973005,3
3,L3,Hesitating recall,c2,maximum,full,Full,72.80487804878048,11.06266289870888,73.63821138211382,10.837603453801586,0.8333333333333334,1.4433756729740643,0.0,2.5,3
3,L3,Hesitating recall,c2,maximum,no_conv,NoConv,78.5569105691057,7.798762212581166,79.39024390243902,9.233728876188266,0.8333333333333334,1.4433756729740643,0.0,2.5,3
3,L3,Hesitating recall,c2,maximum,no_lstm,NoLSTM,70.28455284552847,4.579805485254605,70.28455284552847,4.579805485254605,0.0,0.0,0.0,0.0,3
3,L3,Hesitating recall,c2,maximum,no_attention,NoAttention,76.0569105691057,5.589948239176869,76.0569105691057,5.589948239176869,0.0,0.0,0.0,0.0,3
3,L3,Hesitating recall,c2,attention_shuffle,full,Full,72.80487804878048,11.06266289870888,73.63821138211382,10.837603453801586,0.8333333333333334,1.4433756729740643,0.0,2.5,3
3,L3,Hesitating recall,c2,attention_shuffle,no_conv,NoConv,78.5569105691057,7.798762212581166,79.39024390243902,9.233728876188266,0.8333333333333334,1.4433756729740643,0.0,2.5,3
3,L3,Hesitating recall,c2,attention_shuffle,no_lstm,NoLSTM,70.28455284552847,4.579805485254605,71.1178861788618,5.903098296850592,0.8333333333333334,1.4433756729740643,0.0,2.5,3
3,L3,Hesitating recall,c2,attention_shuffle,no_attention,NoAttention,76.0569105691057,5.589948239176869,76.0569105691057,5.589948239176869,0.0,0.0,0.0,0.0,3
3,L3,Hesitating recall,c2,attention_zero,full,Full,72.80487804878048,11.06266289870888,72.80487804878048,11.06266289870888,0.0,0.0,0.0,0.0,3
3,L3,Hesitating recall,c2,attention_zero,no_conv,NoConv,78.5569105691057,7.798762212581166,79.39024390243902,9.233728876188266,0.8333333333333334,1.4433756729740643,0.0,2.5,3
3,L3,Hesitating recall,c2,attention_zero,no_lstm,NoLSTM,70.28455284552847,4.579805485254605,70.28455284552847,4.579805485254605,0.0,0.0,0.0,0.0,3
3,L3,Hesitating recall,c2,attention_zero,no_attention,NoAttention,76.0569105691057,5.589948239176869,76.0569105691057,5.589948239176869,0.0,0.0,0.0,0.0,3
3,L3,Hesitating recall,c2,random_window,full,Full,72.80487804878048,11.06266289870888,73.35487804878049,10.89320713242809,0.5499999999999995,0.9526279441628879,-7.105427357601002e-15,1.6500000000000057,3
3,L3,Hesitating recall,c2,random_window,no_conv,NoConv,78.5569105691057,7.798762212581166,78.82357723577235,7.724417254811702,0.266666666666661,0.35910769044025775,-1.4210854715202004e-14,0.6749999999999972,3
3,L3,Hesitating recall,c2,random_window,no_lstm,NoLSTM,70.28455284552847,4.579805485254605,70.50121951219514,4.5749854935844265,0.2166666666666733,0.3752776749732559,0.0,0.6500000000000057,3
3,L3,Hesitating recall,c2,random_window,no_attention,NoAttention,76.0569105691057,5.589948239176869,76.05691056910568,5.589948239176873,-4.736951571734001e-15,8.20464079523654e-15,-1.4210854715202004e-14,0.0,3
5,L5,Walking recall,c4,maximum,full,Full,65.16290726817043,5.932292808102783,59.28884711779449,2.433799231759,-5.874060150375937,3.5125111542995895,-8.787593984962399,-1.973684210526322,3
5,L5,Walking recall,c4,maximum,no_conv,NoConv,67.05827067669173,14.843748837740328,60.76127819548872,14.583350158415355,-6.2969924812030085,0.8030078708005127,-7.142857142857139,-5.545112781954899,3
